LAMMPS Description

1142  atoms
1142  ellipsoids
40  bonds
39  angles


3  atom types
2  bond types
2  angle types


0 120 xlo xhi
0 120 ylo yhi
0 0.25 zlo zhi

Masses

1 1.0  # A
2 1.0  # B
3 1.0  # C

Atoms

1  1 49.833657 43.331604 -0.011930                          1          1   1
2  1 50.274736 44.229072 -0.011787                          1          1   1
3  1 50.715816 45.126540 -0.011644                          1          1   1
4  1 51.156896 46.024008 -0.011501                          1          1   1
5  1 51.597976 46.921475 -0.011358                          1          1   1
6  1 52.039056 47.818943 -0.011215                          1          1   1
7  1 52.480135 48.716411 -0.011071                          1          1   1
8  1 52.921215 49.613879 -0.010928                          1          1   1
9  1 53.362295 50.511347 -0.010785                          1          1   1
10  1 53.803375 51.408815 -0.010642                         1          1   1
11  1 54.244455 52.306283 -0.010499                         1          1   1
12  1 54.685535 53.203751 -0.010356                         1          1   1
13  1 55.126614 54.101218 -0.010212                         1          1   1
14  1 55.567694 54.998686 -0.010069                         1          1   1
15  1 56.008774 55.896154 -0.009926                         1          1   1
16  1 56.449854 56.793622 -0.009783                         1          1   1
17  1 56.890934 57.691090 -0.009640                         1          1   1
18  1 57.332013 58.588558 -0.009497                         1          1   1
19  1 57.773093 59.486026 -0.009353                         1          1   1
20  1 58.214173 60.383493 -0.009210                         1          1   1
21  1 58.655253 61.280961 -0.009067                         1          1   1
22  2 59.096333 62.178429 -0.008924                         2          1   1
23  2 59.537412 63.075897 -0.008781                         2          1   1
24  2 59.978492 63.973365 -0.008637                         2          1   1
25  2 60.419572 64.870833 -0.008494                         2          1   1
26  2 60.860652 65.768301 -0.008351                         2          1   1
27  2 61.301732 66.665769 -0.008208                         2          1   1
28  2 61.742812 67.563236 -0.008065                         2          1   1
29  2 62.183891 68.460704 -0.007922                         2          1   1
30  2 62.624971 69.358172 -0.007778                         2          1   1
31  2 63.066051 70.255640 -0.007635                         2          1   1
32  2 63.507131 71.153108 -0.007492                         2          1   1
33  2 63.948211 72.050576 -0.007349                         2          1   1
34  2 64.389290 72.948044 -0.007206                         2          1   1
35  2 64.830370 73.845512 -0.007063                         2          1   1
36  2 65.271450 74.742979 -0.006919                         2          1   1
37  2 65.712530 75.640447 -0.006776                         2          1   1
38  2 66.153610 76.537915 -0.006633                         2          1   1
39  2 66.594690 77.435383 -0.006490                         2          1   1
40  2 67.035769 78.332851 -0.006347                         2          1   1
41  2 67.476849 79.230319 -0.006204                         2          1   1
42  3 110.302165 83.979723 0.231277                         3          1   1
43  3 89.665712 56.899104 0.066352                          3          1   1
44  3 64.347616 41.181016 0.057807                          3          1   1
45  3 8.300016 4.298791 0.184779                            3          1   1
46  3 27.103905 111.086267 0.224145                         3          1   1
47  3 69.103970 93.680824 0.026671                          3          1   1
48  3 40.614811 16.555729 0.064371                          3          1   1
49  3 6.224430 98.140743 0.000052                           3          1   1
50  3 93.356746 20.307281 0.214464                          3          1   1
51  3 0.447268 43.209090 0.141319                           3          1   1
52  3 30.385184 28.224599 0.139189                          3          1   1
53  3 118.868819 113.056254 0.172483                        3          1   1
54  3 84.803325 42.127913 0.224967                          3          1   1
55  3 59.267779 114.960620 0.195263                         3          1   1
56  3 10.194291 115.038433 0.092702                         3          1   1
57  3 91.481829 34.633501 0.002396                          3          1   1
58  3 49.423057 29.588972 0.043875                          3          1   1
59  3 20.836901 104.206858 0.111952                         3          1   1
60  3 1.846294 27.814194 0.181298                           3          1   1
61  3 70.667296 113.497696 0.107731                         3          1   1
62  3 80.559772 15.737424 0.169427                          3          1   1
63  3 52.402572 51.151008 0.055646                          3          1   1
64  3 55.762630 84.494091 0.165684                          3          1   1
65  3 25.982842 41.816889 0.195442                          3          1   1
66  3 49.592413 55.528068 0.122243                          3          1   1
67  3 100.227888 112.340852 0.009327                        3          1   1
68  3 49.013118 71.575033 0.144922                          3          1   1
69  3 0.978472 18.996401 0.137207                           3          1   1
70  3 40.703022 8.949542 0.231155                           3          1   1
