LAMMPS Description

1104  atoms
1104  ellipsoids




2  atom types



0 120 xlo xhi
0 120 ylo yhi
0 0.25 zlo zhi







Atoms

1                      1          1   1                    49.833657 43.331604 -0.011930       
2                      1          1   1                    58.655253 61.280961 -0.009067      
3                      1          1   1                    59.096333 62.178429 -0.008924      
4                      2          1   1                    59.537412 63.075897 -0.008781      
5                      2          1   1                    110.302165 83.979723 0.231277      
6                      2          1   1                    89.665712 56.899104 0.066352       
7                      2          1   1                    64.347616 41.181016 0.057807       
8                      2          1   1                    8.300016 4.298791 0.184779         
9                      2          1   1                    27.103905 111.086267 0.224145      
10                     2          1   1                    69.103970 93.680824 0.026671       
11                     2          1   1                    40.614811 16.555729 0.064371       
12                     2          1   1                    6.224430 98.140743 0.000052        
13                     2          1   1                    93.356746 20.307281 0.214464       
14                     2          1   1                    0.447268 43.209090 0.141319        
15                     2          1   1                    30.385184 28.224599 0.139189       
16                     2          1   1                    118.868819 113.056254 0.172483     
17                     2          1   1                    84.803325 42.127913 0.224967       
18                     2          1   1                    59.267779 114.960620 0.195263      
19                     2          1   1                    10.194291 115.038433 0.092702      
20                     2          1   1                    91.481829 34.633501 0.002396       
21                     2          1   1                    49.423057 29.588972 0.043875       
22                     2          1   1                    20.836901 104.206858 0.111952      
23                     2          1   1                    1.846294 27.814194 0.181298        
24                     2          1   1                    70.667296 113.497696 0.107731      
25                     2          1   1                    80.559772 15.737424 0.169427       
26                     2          1   1                    52.402572 51.151008 0.055646       
27                     2          1   1                    55.762630 84.494091 0.165684       
28                     2          1   1                    25.982842 41.816889 0.195442       
29                     2          1   1                    49.592413 55.528068 0.122243       
30                     2          1   1                    100.227888 112.340852 0.009327     
31                     2          1   1                    49.013118 71.575033 0.144922       
32                     2          1   1                    0.978472 18.996401 0.137207        
33                     2          1   1                    40.703022 8.949542 0.231155        
34                     2          1   1                    20.088113 98.950356 0.170644       
35                     2          1   1                    6.957448 55.082713 0.035421        
36                     2          1   1                    63.070429 101.655489 0.064131      
37                     2          1   1                    72.704830 92.877201 0.089952       
38                     2          1   1                    15.221842 102.000733 0.087546      
39                     2          1   1                    72.663461 105.052245 0.043804      
40                     2          1   1                    11.326350 73.454708 0.078431       
41                     2          1   1                    66.069063 79.645796 0.258256       
42                     2          1   1                    100.265027 116.800995 0.229396     
43                    2          1   1                     69.590189 58.397080 0.076904       
44                    2          1   1                     106.471856 55.016563 0.189066      
45                    2          1   1                     16.916673 22.489106 0.217337       
46                    2          1   1                     101.782249 54.791691 0.239865      
47                    2          1   1                     61.550762 106.144686 0.157490      
48                    2          1   1                     72.184768 20.731650 0.242963       
49                    2          1   1                     76.682574 16.194481 0.240947       
50                    2          1   1                     60.524255 24.500992 0.065007       
51                    2          1   1                     82.432842 76.993267 0.179708       
52                    2          1   1                     27.419031 16.978290 0.011054       
53                    2          1   1                     14.798206 58.670037 0.096473       
54                    2          1   1                     96.733761 56.990635 0.177494       
